model,source,PR-AUC,P,R,n_train,n_test
zscore,NAB,0.3625870528854131,0.8095238095238095,0.19941348973607037,3334,3449
iforest,NAB,0.32576081621212927,0.30518018018018017,0.3973607038123167,3334,3449
lof,NAB,0.46555886189469453,0.5728155339805825,0.3460410557184751,3334,3449
ocsvm,NAB,0.35521246521996636,0.3259361997226075,0.34457478005865105,3334,3449
